"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"29.10.2020","251","14","3"
"28.10.2020","268","14","4"
"27.10.2020","284","21","8"
"26.10.2020","156","14","3"
"25.10.2020","78","4","2"
"24.10.2020","152","6","1"
"23.10.2020","192","12","4"
"22.10.2020","225","18","4"
"21.10.2020","162","14","1"
"20.10.2020","125","9","5"
"19.10.2020","158","15","3"
"18.10.2020","34","6","2"
"17.10.2020","51","1","0"
"16.10.2020","94","9","3"
"15.10.2020","81","4","2"
"14.10.2020","71","2","1"
"13.10.2020","66","2","0"
"12.10.2020","66","6","1"
"11.10.2020","22","3","0"
"10.10.2020","27","1","0"
"09.10.2020","57","2","0"
"08.10.2020","63","5","0"
"07.10.2020","54","4","0"
"06.10.2020","54","0","0"
"05.10.2020","35","1","0"
"04.10.2020","23","4","1"
"03.10.2020","18","0","0"
"02.10.2020","39","1","0"
"01.10.2020","38","4","0"
"30.09.2020","43","1","0"
"29.09.2020","46","2","0"
"28.09.2020","44","1","0"
"27.09.2020","7","0","0"
"26.09.2020","23","1","0"
"25.09.2020","58","2","1"
"24.09.2020","57","6","0"
"23.09.2020","48","2","0"
"22.09.2020","30","1","0"
"21.09.2020","27","2","1"
"20.09.2020","17","0","0"
"19.09.2020","29","3","0"
"18.09.2020","32","0","0"
"17.09.2020","36","3","0"
"16.09.2020","30","1","0"
"15.09.2020","35","2","0"
"14.09.2020","24","1","0"
"13.09.2020","9","1","0"
"12.09.2020","9","1","0"
"11.09.2020","11","2","0"
"10.09.2020","16","0","0"
"09.09.2020","23","2","0"
"08.09.2020","21","1","0"
"07.09.2020","19","1","0"
"06.09.2020","4","0","0"
"05.09.2020","8","1","0"
"04.09.2020","9","0","0"
"03.09.2020","21","2","0"
"02.09.2020","26","2","0"
"01.09.2020","16","1","0"
"31.08.2020","15","1","0"
"30.08.2020","9","0","0"
"29.08.2020","5","0","0"
"28.08.2020","17","0","0"
"27.08.2020","18","0","0"
"26.08.2020","22","0","0"
"25.08.2020","28","0","0"
"24.08.2020","22","0","0"
"23.08.2020","6","0","0"
"22.08.2020","13","1","0"
"21.08.2020","14","0","0"
"20.08.2020","24","0","0"
"19.08.2020","22","0","0"
"18.08.2020","18","1","0"
"17.08.2020","15","0","0"
"16.08.2020","2","0","0"
"15.08.2020","19","0","0"
"14.08.2020","33","4","0"
"13.08.2020","22","0","0"
"12.08.2020","38","3","1"
"11.08.2020","52","2","0"
"10.08.2020","35","5","0"
"09.08.2020","8","0","0"
"08.08.2020","9","1","0"
"07.08.2020","10","0","0"
"06.08.2020","37","1","0"
"05.08.2020","17","0","1"
"04.08.2020","23","2","0"
"03.08.2020","17","2","0"
"02.08.2020","7","1","0"
"01.08.2020","16","1","0"
"31.07.2020","24","1","0"
"30.07.2020","26","4","0"
"29.07.2020","32","3","0"
"28.07.2020","26","2","0"
"27.07.2020","23","4","2"
"26.07.2020","7","1","0"
"25.07.2020","7","1","0"
"24.07.2020","12","3","1"
"23.07.2020","8","2","0"
"22.07.2020","17","1","0"
"21.07.2020","6","1","0"
"20.07.2020","9","1","0"
"19.07.2020","7","0","0"
"18.07.2020","4","0","0"
"17.07.2020","14","2","1"
"16.07.2020","2","0","0"
"15.07.2020","8","4","0"
"14.07.2020","8","0","0"
"13.07.2020","10","3","1"
"12.07.2020","8","1","0"
"11.07.2020","0","0","0"
"10.07.2020","1","0","0"
"09.07.2020","4","0","0"
"08.07.2020","7","1","1"
"07.07.2020","4","0","0"
"06.07.2020","0","0","0"
"05.07.2020","5","0","0"
"04.07.2020","3","0","0"
"03.07.2020","4","0","0"
"02.07.2020","5","0","0"
"01.07.2020","12","1","0"
"30.06.2020","6","0","0"
"29.06.2020","3","0","0"
"28.06.2020","1","0","0"
"27.06.2020","3","0","0"
"26.06.2020","1","1","0"
"25.06.2020","6","1","1"
"24.06.2020","4","0","0"
"23.06.2020","1","0","0"
"22.06.2020","0","0","0"
"21.06.2020","2","1","0"
"20.06.2020","1","0","0"
"19.06.2020","2","0","0"
"18.06.2020","9","0","0"
"17.06.2020","2","0","0"
"16.06.2020","1","0","0"
"15.06.2020","2","1","0"
"14.06.2020","0","0","0"
"13.06.2020","0","0","0"
"12.06.2020","1","1","1"
"11.06.2020","3","1","0"
"10.06.2020","3","0","0"
"09.06.2020","1","0","0"
"08.06.2020","2","0","0"
"07.06.2020","1","0","0"
"06.06.2020","2","0","0"
"05.06.2020","2","1","0"
"04.06.2020","0","0","0"
"03.06.2020","0","0","0"
"02.06.2020","1","0","0"
"01.06.2020","4","0","0"
"31.05.2020","3","0","0"
"30.05.2020","3","0","0"
"29.05.2020","14","3","2"
"28.05.2020","6","1","0"
"27.05.2020","1","0","0"
"26.05.2020","7","2","0"
"25.05.2020","0","0","0"
"24.05.2020","1","0","0"
"23.05.2020","0","0","0"
"22.05.2020","18","4","1"
"21.05.2020","23","2","0"
"20.05.2020","9","1","0"
"19.05.2020","14","3","1"
"18.05.2020","0","0","0"
"17.05.2020","1","0","0"
"16.05.2020","2","1","0"
"15.05.2020","7","0","0"
"14.05.2020","5","0","0"
"13.05.2020","13","0","0"
"12.05.2020","16","3","0"
"11.05.2020","5","0","1"
"10.05.2020","20","4","1"
"09.05.2020","20","1","0"
"08.05.2020","22","4","1"
"07.05.2020","34","4","1"
"06.05.2020","16","2","0"
"05.05.2020","51","6","0"
"04.05.2020","16","3","0"
"03.05.2020","49","1","0"
"02.05.2020","11","2","2"
"01.05.2020","13","2","1"
"30.04.2020","18","5","1"
"29.04.2020","18","4","0"
"28.04.2020","22","4","1"
"27.04.2020","13","1","1"
"26.04.2020","6","4","1"
"25.04.2020","16","3","2"
"24.04.2020","39","8","2"
"23.04.2020","41","5","2"
"22.04.2020","35","8","5"
"21.04.2020","38","7","2"
"20.04.2020","28","13","4"
"19.04.2020","9","2","1"
"18.04.2020","25","6","2"
"17.04.2020","40","6","3"
"16.04.2020","52","7","3"
"15.04.2020","42","8","3"
"14.04.2020","18","1","1"
"13.04.2020","98","5","12"
"12.04.2020","16","3","0"
"11.04.2020","40","7","3"
"10.04.2020","34","4","1"
"09.04.2020","92","13","5"
"08.04.2020","90","19","5"
"07.04.2020","112","21","11"
"06.04.2020","61","15","5"
"05.04.2020","35","4","1"
"04.04.2020","67","10","2"
"03.04.2020","113","14","8"
"02.04.2020","111","18","4"
"01.04.2020","101","19","7"
"31.03.2020","104","23","5"
"30.03.2020","78","18","5"
"29.03.2020","42","13","2"
"28.03.2020","81","15","0"
"27.03.2020","118","20","3"
"26.03.2020","96","23","4"
"25.03.2020","86","13","4"
"24.03.2020","100","15","4"
"23.03.2020","93","15","2"
"22.03.2020","34","10","4"
"21.03.2020","45","5","3"
"20.03.2020","78","12","1"
"19.03.2020","60","2","0"
"18.03.2020","53","8","4"
"17.03.2020","46","7","2"
"16.03.2020","29","2","0"
"15.03.2020","21","0","0"
"14.03.2020","24","1","0"
"13.03.2020","27","3","0"
"12.03.2020","18","2","1"
"11.03.2020","19","1","0"
"10.03.2020","7","0","0"
"09.03.2020","3","0","0"
"08.03.2020","1","0","0"
"07.03.2020","0","0","0"
"06.03.2020","2","1","0"
"05.03.2020","1","0","0"
"04.03.2020","0","0","0"
"03.03.2020","1","1","0"
"02.03.2020","2","0","0"
"01.03.2020","0","0","0"
"29.02.2020","1","0","0"
"28.02.2020","1","1","0"
